job_title,company,jobtype,region,working_Exp,edu_level,salary,salary_asist,salary_h,salary_l,salary_a
業務分析師/系統開發工程師,富邦人壽保險股份有限公司(總公司),人身保險業,台北市,1年以上,大學,"月薪35,000元以上",35000以上,35000.0,35000.0,35000.0
E3000 加工營運專員(桃園地區),富邦媒體科技股份有限公司(富邦momo),百貨相關業,桃園市,1年以上,大學,"月薪32,000元以上",32000以上,32000.0,32000.0,32000.0
資料工程師 Data Engineer (台南/Tainan),凱鈿行動科技股份有限公司,網際網路相關業,台南市,1年以上,大學,"月薪35,000~60,000元",35000~60000,60000.0,35000.0,47500.0
資訊工程師-股務系統程式開發及維護(台北),太平洋電線電纜股份有限公司,電力機械器材製造修配業,新北市,經歷不拘,大學,"月薪36,600~50,000元",36600~50000,50000.0,36600.0,43300.0
電動二輪通路行銷助理,菱威汽車股份有限公司,汽機車及其零配件／用品零售業,桃園市,經歷不拘,專科,"月薪30,000~40,000元",30000~40000,40000.0,30000.0,35000.0
資深商業分析師,海普科技有限公司,家庭電器／設備及用品批發業,台北市,5年以上,大學,"月薪45,000~60,000元",45000~60000,60000.0,45000.0,52500.0
解決方案工程師 (內容處理),萬象翻譯股份有限公司,其他出版業,台北市,經歷不拘,專科,"月薪35,000~60,000元",35000~60000,60000.0,35000.0,47500.0
保費帳務系統統計分析專員,(總公司)南山人壽保險股份有限公司,人身保險業,台北市,1年以上,大學,"月薪32,000~42,000元",32000~42000,42000.0,32000.0,37000.0
廣告優化師,宏虹電子科技有限公司,綜合商品批發代理業,桃園市,經歷不拘,大學,"月薪32,000~50,000元",32000~50000,50000.0,32000.0,41000.0
資訊系統部AS400系統分析師(COBOL開發工程師),統一綜合證券股份有限公司,證券及期貨業,台北市,經歷不拘,大學,"月薪50,000~70,000元",50000~70000,70000.0,50000.0,60000.0
DC03  網發部/客戶服務課-資料監看人員,智冠科技股份有限公司,網際網路相關業,台北市,經歷不拘,專科,"月薪26,000~33,000元",26000~33000,33000.0,26000.0,29500.0
